SKU,Product Name,Product ID,Brand,Model,Ext,Product Description,Item Type,Standard Price,Bullet Point1,Bullet Point2,Bullet Point3,Bullet Point4,Bullet Point5,Search Terms1,Search Terms2,Search Terms3,Search Terms4,Search Terms5,Lens Color,Frame Material Type,Lens Material Type,Item Shape,Polarization Type,Lens Width,Bridge Width,Arm Length,Department,Frame Color,Special Features1
0Z-T8EO-YIRW,Ray-Ban RB2132 617771 One Sight Wayfarer Black Frame / Grey Gradient Lens 55mm,,Ray Ban,mRB2132,e617771,,sunglasses,149.99,Model: RB2132 New Wayfarer OneSight.,Color: 617771 Black Frame / Grey Gradient Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Style: Wayfarer.,Ray Ban rayban ray-ban gift onesight,rb2132 Saretta Fielding Matte Black 2132,Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,polarized lens lenses authentic made in italy,grey,plastic,gradient,wayfarer,polarized,55,18,145,unisex-adult,Black,prescription-ready
4C-BDJA-H9UB,Ray-Ban RB2132 6180R5 Wayfarer Sunglasses Matte Havana / Grey Lens 52mm,,Ray Ban,mRB2132,e6180R5,"New Wayfarer Matte The Ray-Ban New Wayfarer Matte guides the trend in everything that comes in matte. Using the same shape as the Original Wayfarer Sunglasses, New Wayfarer Matte sunglasses are a smaller interpretation of this infamous style. With an edgy touch and feel, Ray-Ban RB2132 New Wayfarer Matte sunglasses are a must-have for all fans.",sunglasses,114.99,Model: RB2132 New Wayfarer Matte.,Color: 6180/R5 Matte Havana Frame / Grey Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132 polarized,Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,polarized lens lenses authentic made in italy,grey,composite,glass,wayfarer,non-polarized,52,18,145,unisex-adult,Black,prescription-ready
DZ-IILN-UZMK,Ray-Ban RB2132 6180R5 Wayfarer Sunglasses Matte Havana / Grey Lens 55mm,,Ray Ban,mRB2132,e6180R5,"New Wayfarer Matte The Ray-Ban New Wayfarer Matte guides the trend in everything that comes in matte. Using the same shape as the Original Wayfarer Sunglasses, New Wayfarer Matte sunglasses are a smaller interpretation of this infamous style. With an edgy touch and feel, Ray-Ban RB2132 New Wayfarer Matte sunglasses are a must-have for all fans.",sunglasses,114.99,Model: RB2132 New Wayfarer Matte.,Color: 6180/R5 Matte Havana Frame / Grey Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132 polarized,Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,polarized lens lenses authentic made in italy,grey,composite,glass,wayfarer,non-polarized,55,18,145,unisex-adult,Black,prescription-ready
JW-KSP5-JJDZ,Ray-Ban RB2132 618185 Wayfarer Matte Havana / Dark Brown Gradient Lens 52mm,,Ray Ban,mRB2132,e618185,"New Wayfarer Matte The Ray-Ban New Wayfarer Matte guides the trend in everything that comes in matte. Using the same shape as the Original Wayfarer Sunglasses, New Wayfarer Matte sunglasses are a smaller interpretation of this infamous style. With an edgy touch and feel, Ray-Ban RB2132 New Wayfarer Matte sunglasses are a must-have for all fans.",sunglasses,129.99,Model: RB2132 New Wayfarer Matte.,Color: 618185 Matte Havana / Dark Brown Gradient Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132 polarized,Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,polarized lens lenses authentic made in italy,brown,composite,gradient,wayfarer,non-polarized,52,18,145,unisex-adult,Black,prescription-ready
UX-0KOK-JSAA,Ray-Ban RB2132 618185 Wayfarer Matte Havana / Dark Brown Gradient Lens 55mm,,Ray Ban,mRB2132,e618185,"New Wayfarer Matte The Ray-Ban New Wayfarer Matte guides the trend in everything that comes in matte. Using the same shape as the Original Wayfarer Sunglasses, New Wayfarer Matte sunglasses are a smaller interpretation of this infamous style. With an edgy touch and feel, Ray-Ban RB2132 New Wayfarer Matte sunglasses are a must-have for all fans.",sunglasses,129.99,Model: RB2132 New Wayfarer Matte.,Color: 618185 Matte Havana / Dark Brown Gradient Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132 polarized,Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,polarized lens lenses authentic made in italy,brown,composite,gradient,wayfarer,non-polarized,55,18,145,unisex-adult,Black,prescription-ready
1A-TATB-LCL0,Ray-Ban RB2132 6182 Wayfarer Matte Black / Crystal Green Lens 55mm,,Ray Ban,mRB2132,e6182,"New Wayfarer Matte The Ray-Ban New Wayfarer Matte guides the trend in everything that comes in matte. Using the same shape as the Original Wayfarer Sunglasses, New Wayfarer Matte sunglasses are a smaller interpretation of this infamous style. With an edgy touch and feel, Ray-Ban RB2132 New Wayfarer Matte sunglasses are a must-have for all fans.",sunglasses,114.99,Model: RB2132 New Wayfarer Matte.,Color: 6182 Wayfarer Matte Black / Crystal Green Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Style: Wayfarer.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132,Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,glass lens lenses authentic made in italy,grey,plastic,glass,wayfarer,non-polarized,55,18,145,unisex-adult,Black,prescription-ready
8O-MRMY-G2M9,Ray-Ban RB2132 6182 Wayfarer Matte Black Frame / Crystal Green Lens 52mm,,Ray Ban,mRB2132,e6182,"New Wayfarer Matte The Ray-Ban New Wayfarer Matte guides the trend in everything that comes in matte. Using the same shape as the Original Wayfarer Sunglasses, New Wayfarer Matte sunglasses are a smaller interpretation of this infamous style. With an edgy touch and feel, Ray-Ban RB2132 New Wayfarer Matte sunglasses are a must-have for all fans.",sunglasses,114.99,Model: RB2132 New Wayfarer Matte.,Color: 6182 Wayfarer Matte Black / Crystal Green Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Style: Wayfarer.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132,Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,glass lens lenses authentic made in italy,grey,composite,glass,wayfarer,non-polarized,52,18,145,unisex-adult,Black,prescription-ready
9D-EJE6-9919,Ray-Ban RB2132 618371 Wayfarer Matte Black / Dark Gray Gradient Lens 52mm,,Ray Ban,mRB2132,e618371,"New Wayfarer Matte The Ray-Ban New Wayfarer Matte guides the trend in everything that comes in matte. Using the same shape as the Original Wayfarer Sunglasses, New Wayfarer Matte sunglasses are a smaller interpretation of this infamous style. With an edgy touch and feel, Ray-Ban RB2132 New Wayfarer Matte sunglasses are a must-have for all fans.",sunglasses,119.99,Model: RB2132 New Wayfarer Matte.,Color: 618371 Matte Black / Dark Gray Gradient Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132 polarized,Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,polarized lens lenses authentic made in italy,grey,plastic,gradient,wayfarer,non-polarized,52,18,145,unisex-adult,Black,prescription-ready
FH-VSVL-131Q,Ray-Ban RB2132 618371 Wayfarer Matte Black / Dark Gray Gradient Lens 55mm,,Ray Ban,mRB2132,e618371,"New Wayfarer Matte The Ray-Ban New Wayfarer Matte guides the trend in everything that comes in matte. Using the same shape as the Original Wayfarer Sunglasses, New Wayfarer Matte sunglasses are a smaller interpretation of this infamous style. With an edgy touch and feel, Ray-Ban RB2132 New Wayfarer Matte sunglasses are a must-have for all fans.",sunglasses,119,Model: RB2132 New Wayfarer Matte.,Color: 618371 Matte Black / Dark Gray Gradient Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132 women,Wayfarer original 50mm 54mm 52mm 55mm,Sunglasses glasses frame shades,polarized lens lenses authentic made in italy,grey,plastic,gradient,wayfarer,non-polarized,55,18,145,unisex-adult,Black,prescription-ready
AJ-USCC-SMME,Ray-Ban RB2132 61844E Wayfarer Matte Black-Green / Crystal Green Lens 55mm,,Ray Ban,mRB2132,e61844E,"New Wayfarer Matte The Ray-Ban New Wayfarer Matte guides the trend in everything that comes in matte. Using the same shape as the Original Wayfarer Sunglasses, New Wayfarer Matte sunglasses are a smaller interpretation of this infamous style. With an edgy touch and feel, Ray-Ban RB2132 New Wayfarer Matte sunglasses are a must-have for all fans.",sunglasses,109.99,Model: RB2132 New Wayfarer Matte.,Color: 61844E Wayfarer Matte Black-Green / Crystal Green Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Style: Wayfarer.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132,Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,glass lens lenses authentic made in italy,grey,plastic,glass,wayfarer,non-polarized,55,18,145,unisex-adult,Black,prescription-ready
2Y-2EG5-UVXL,Ray-Ban RB2132 6188 Blue Military Green Frame / Green Lens 55mm,,Ray Ban,mRB2132,e6188,,sunglasses,114.99,Model: RB2132 New Wayfarer Gradient.,Color: Blue Military Green Frame / Green Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Style: Wayfarer.,Ray Ban rayban ray-ban gift onesight,rb2132 Saretta Fielding Matte Black 2132 women,Wayfarer original 50mm 54mm 52mm 55mm,Sunglasses glasses frame shades men,polarized lens lenses authentic made in italy,Green,plastic,glass,wayfarer,non-polarized,55,18,145,unisex-adult,Black,prescription-ready
J7-DB53-QF0U,Ray-Ban RB2132 619171 Matte Petrolium Frame / Grey Gradient Lens 55mm,,Ray Ban,mRB2132,e619171,,sunglasses,129.99,Model: RB2132 New Wayfarer Gradient.,Color: 619171 Matte Petrolium Frame / Grey Gradient Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Style: Wayfarer.,Ray Ban rayban ray-ban gift onesight,rb2132 Saretta Fielding Matte Black 2132 women,Wayfarer original 50mm 54mm 52mm 55mm,Sunglasses glasses frame shades men,polarized lens lenses authentic made in italy,grey,plastic,gradient,wayfarer,non-polarized,55,18,145,unisex-adult,Black,prescription-ready
N5-JOYW-ISXJ,Ray-Ban RB2132 619285 Matte Violet Frame / Brown Gradient Lens 55mm,,Ray Ban,mRB2132,e619285,,sunglasses,129.99,Model: RB2132 New Wayfarer Gradient.,Color: Matte Violet Frame / Brown Gradient Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Style: Wayfarer.,Ray Ban rayban ray-ban gift onesight,rb2132 Saretta Fielding Matte Black 2132 women,Wayfarer original 50mm 54mm 52mm 55mm,Sunglasses glasses frame shades men,polarized lens lenses authentic made in italy,brown,plastic,gradient,wayfarer,non-polarized,55,18,145,unisex-adult,Black,prescription-ready
9N-I3CM-WAWO,Ray-Ban RB2132 622 Wayfarer Sunglasses Black Rubber Frame / Green Lens 52mm,,Ray Ban,mRB2132,e622,,sunglasses,124.99,Model: RB2132 New Wayfarer.,Color: 622 Black Rubber Frame / Green Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 622 2132,new Wayfarer original 50mm 52mm 55 mm women,Sunglasses glasses frame shades,crystal lens lenses authentic made in italy,blue,composite,glass,wayfarer,non-polarized,52,18,145,unisex-adult,,prescription-ready
BT-Z9I9-VKSI,Ray-Ban RB2132 622 Wayfarer Sunglasses Black Rubber Frame / Green Lens 55mm,,Ray Ban,mRB2132,e622,,sunglasses,124.99,Model: RB2132 New Wayfarer.,Color: 622 Black Rubber Frame / Green Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 622 2132 polarized,Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,crystal lens lenses authentic made in italy,blue,composite,glass,wayfarer,non-polarized,55,18,145,unisex-adult,,prescription-ready
4X-CCSH-R1Y9,Ray-Ban RB2132 622/17 Wayfarer Rubber Black Frame / Blue Mirror Lens 52mm,,Ray Ban,mRB2132,e62217,,sunglasses,124.99,Model: RB2132 New Wayfarer.,Color: 622/17 Rubber Black Frame / Blue Mirror Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132 polarized,Wayfarer original 50mm 54 52mm 55mm women men,Sunglasses glasses frame shades,gradient lens lenses authentic made in italy,grey,plastic,mirrored,wayfarer,non-polarized,52,18,145,unisex-adult,Black,prescription-ready
I4-4QEX-QJAI,Ray-Ban RB2132 622/17 Wayfarer Rubber Black Frame / Blue Mirror Lens 55mm,,Ray Ban,mRB2132,e62217,,sunglasses,124.99,Model: RB2132 New Wayfarer.,Color: 622/17 Rubber Black Frame / Blue Mirror Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132 polarized,Wayfarer original 50mm 54 52mm 55mm women men,Sunglasses glasses frame shades,gradient lens lenses authentic made in italy,grey,plastic,mirrored,wayfarer,non-polarized,55,18,145,unisex-adult,Black,prescription-ready
DE-NZTG-LGHW,"Ray-Ban RB2132 789/3F NEW WAYFARER Unisex Sunglasses Gradient (Blue Orange Frame / Gradient Blue Lens 789/3F, 52)",,Ray-Ban,mRB2132,e7893F,"Using the same iconic shape as the classic Wayfarer Sunglasses, Ray-Ban RB2132 New Wayfarer Color Mix sunglasses are dressed in unique color combinations, for those who dare to wear them. This smaller interpretation of the Original Wayfarer comes in a softer eye shape, giving you what you need to express your individuality.",sunglasses,129.99,Model: RB2132 New Wayfarer Gradient Series.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Case color may occasionally vary.,Gender: Unisex,Made in Italy.,Ray Ban rayban ray-ban new original,gradient 55mm 52mm women,2132 new wayfarer color small large,made in italy auhtentic,lens lenses authentic frame shades glasses,,Composite,gradient,wayfarer,non-polarized,52,18,145,unisex-adult,Blue Orange Frame / Gradient Blue Lens 789/3F,
8O-WDG5-G7JH,"Ray-Ban RB2132 789/3F NEW WAYFARER Unisex Sunglasses Gradient (Blue Orange Frame / Gradient Blue Lens 789/3F, 55)",,Ray-Ban,mRB2132,e7893F,"Using the same iconic shape as the classic Wayfarer Sunglasses, Ray-Ban RB2132 New Wayfarer Color Mix sunglasses are dressed in unique color combinations, for those who dare to wear them. This smaller interpretation of the Original Wayfarer comes in a softer eye shape, giving you what you need to express your individuality.",sunglasses,129.99,Model: RB2132 New Wayfarer Gradient Series.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Case color may occasionally vary.,Gender: Unisex,Made in Italy.,Ray Ban rayban ray-ban new original,gradient 55mm 52mm women,2132 new wayfarer color small large,made in italy auhtentic,lens lenses authentic frame shades glasses,,Composite,gradient,wayfarer,non-polarized,55,18,145,unisex-adult,Blue Orange Frame / Gradient Blue Lens 789/3F,
BJ-Y03D-8PJG,Ray-Ban RB2132 874/51 Wayfarer Top Brown w/Blue / Brown Gradient Lens 52mm,,Ray Ban,mRB2132,e87451,,sunglasses,134.99,Model: RB2132 New Wayfarer.,Color: 874/51 Top Brown w/Blue Frame / Brown Gradient Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132 polarized,Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,gradient lens lenses authentic made in italy,grey,plastic,gradient,wayfarer,non-polarized,52,18,145,unisex-adult,Black,prescription-ready
KA-Q2IP-PXZC,Ray-Ban RB2132 874/51 Wayfarer Top Brown w/Blue / Brown Gradient Lens 55mm,,Ray Ban,mRB2132,e87451,,sunglasses,134.99,Model: RB2132 New Wayfarer.,Color: 874/51 Top Brown w/Blue Frame / Brown Gradient Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132 polarized,Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,gradient lens lenses authentic made in italy,grey,plastic,gradient,wayfarer,non-polarized,55,18,145,unisex-adult,Black,prescription-ready
EL-JNYD-473D,Ray-Ban RB2132 875 Wayfarer Black W/Light Brown Frame / Green G-15 Lens 55mm,,Ray Ban,mRB2132,e875,"New Wayfarer Color Mix Using the same iconic shape as the classic Wayfarer Sunglasses, Ray-Ban RB2132 New Wayfarer Color Mix sunglasses are dressed in unique color combinations, for those who dare to wear them. This smaller interpretation of the Original Wayfarer comes in a softer eye shape, giving you what you need to express your individuality.",sunglasses,114.99,Model: RB2132 NEW WAYFARER COLOR MIX.,Color: 875 Black W/Light Brown Frame / Green G-15 Lens.,"Original Ray Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,for men women unisex girlfriend boyfriend,Wayfarer 2132 rb2132 875,Sunglasses glasses frame shades 55 mm,lens lenses authentic made in italy,brown,plastic,plastic,wayfarer,non-polarized,55,18,135,unisex-adult,Black,
